epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16297.4,0.70655,0.59772,1.24985,0.89279,0.93821,0.91354,0.76237,0.68788,0.52269,1.41692,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,16853.6,0.70611,0.60596,1.24722,0.90941,0.93245,0.91614,0.76775,0.68317,0.53242,1.40686,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17407,0.70424,0.59659,1.25005,0.88809,0.93018,0.90742,0.76308,0.67988,0.5357,1.40251,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,17956.7,0.70446,0.58264,1.24511,0.93878,0.93794,0.91623,0.7713,0.67634,0.55406,1.40044,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18535,0.696,0.5666,1.24287,0.91482,0.92774,0.93685,0.78348,0.67873,0.51434,1.40086,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,19102.4,0.70075,0.58609,1.2455,0.87155,0.95652,0.90344,0.75906,0.68123,0.56223,1.40874,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19665.2,0.69286,0.57075,1.24057,0.93484,0.92894,0.92437,0.7773,0.67565,0.52029,1.40465,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,20210,0.69369,0.57989,1.23457,0.92892,0.94333,0.92539,0.77727,0.67675,0.51069,1.4024,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20663.8,0.69274,0.56552,1.23369,0.92848,0.92421,0.91907,0.7736,0.67661,0.51799,1.39584,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,21112.8,0.68963,0.56762,1.23568,0.91438,0.9382,0.9267,0.78403,0.67179,0.50413,1.39782,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,21569.1,0.68648,0.55389,1.23362,0.97341,0.92536,0.90678,0.76745,0.67305,0.50751,1.40065,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,22019.4,0.68732,0.5544,1.22955,0.91736,0.93277,0.92996,0.78162,0.67599,0.53196,1.40042,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22478,0.68715,0.5537,1.23187,0.91583,0.92234,0.91066,0.76816,0.6771,0.5048,1.39864,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,22924.5,0.6801,0.54673,1.22827,0.92387,0.94872,0.92468,0.7819,0.67172,0.49644,1.39463,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,23377.5,0.68371,0.55176,1.23167,0.93613,0.94326,0.92144,0.77934,0.67012,0.48568,1.39323,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
